WeekDay,Day,Month,Year,Tarih,Saat,Tuketim(MWh)
5,1,1,2016,1.01.2016,00:00,"26.277,24"
5,1,1,2016,1.01.2016,01:00,"24.991,82"
5,1,1,2016,1.01.2016,02:00,"23.532,61"
5,1,1,2016,1.01.2016,03:00,"22.464,78"
5,1,1,2016,1.01.2016,04:00,"22.002,91"
5,1,1,2016,1.01.2016,05:00,"21.957,08"
5,1,1,2016,1.01.2016,06:00,"22.203,54"
5,1,1,2016,1.01.2016,07:00,"21.844,16"
5,1,1,2016,1.01.2016,08:00,"23.094,73"
5,1,1,2016,1.01.2016,09:00,"25.202,27"
5,1,1,2016,1.01.2016,10:00,"27.224,96"
5,1,1,2016,1.01.2016,11:00,"28.908,04"
5,1,1,2016,1.01.2016,12:00,"28.789,25"
5,1,1,2016,1.01.2016,13:00,"29.367,70"
5,1,1,2016,1.01.2016,14:00,"29.548,32"
5,1,1,2016,1.01.2016,15:00,"29.390,89"
5,1,1,2016,1.01.2016,16:00,"30.734,97"
5,1,1,2016,1.01.2016,17:00,"32.048,02"
5,1,1,2016,1.01.2016,18:00,"31.438,11"
5,1,1,2016,1.01.2016,19:00,"30.728,47"
5,1,1,2016,1.01.2016,20:00,"30.166,14"
5,1,1,2016,1.01.2016,21:00,"29.461,28"
5,1,1,2016,1.01.2016,22:00,"29.242,83"
5,1,1,2016,1.01.2016,23:00,"28.069,09"
6,2,1,2016,2.01.2016,00:00,"26.224,60"
6,2,1,2016,2.01.2016,01:00,"24.708,58"
6,2,1,2016,2.01.2016,02:00,"23.771,58"
6,2,1,2016,2.01.2016,03:00,"22.921,29"
6,2,1,2016,2.01.2016,04:00,"22.870,89"
6,2,1,2016,2.01.2016,05:00,"23.325,63"
6,2,1,2016,2.01.2016,06:00,"23.604,98"
6,2,1,2016,2.01.2016,07:00,"24.022,70"
6,2,1,2016,2.01.2016,08:00,"26.930,48"
6,2,1,2016,2.01.2016,09:00,"30.043,60"
6,2,1,2016,2.01.2016,10:00,"32.102,38"
6,2,1,2016,2.01.2016,11:00,"33.431,89"
6,2,1,2016,2.01.2016,12:00,"32.910,61"
6,2,1,2016,2.01.2016,13:00,"32.887,61"
6,2,1,2016,2.01.2016,14:00,"32.796,18"
6,2,1,2016,2.01.2016,15:00,"32.594,55"
6,2,1,2016,2.01.2016,16:00,"33.358,47"
6,2,1,2016,2.01.2016,17:00,"34.387,95"
6,2,1,2016,2.01.2016,18:00,"33.591,26"
6,2,1,2016,2.01.2016,19:00,"32.648,83"
6,2,1,2016,2.01.2016,20:00,"31.897,73"
6,2,1,2016,2.01.2016,21:00,"31.049,20"
6,2,1,2016,2.01.2016,22:00,"30.906,43"
6,2,1,2016,2.01.2016,23:00,"29.621,09"
7,3,1,2016,3.01.2016,00:00,"27.613,96"
7,3,1,2016,3.01.2016,01:00,"25.779,28"
7,3,1,2016,3.01.2016,02:00,"24.566,31"
7,3,1,2016,3.01.2016,03:00,"23.878,42"
7,3,1,2016,3.01.2016,04:00,"23.511,38"
7,3,1,2016,3.01.2016,05:00,"23.672,32"
7,3,1,2016,3.01.2016,06:00,"23.827,08"
7,3,1,2016,3.01.2016,07:00,"23.405,11"
7,3,1,2016,3.01.2016,08:00,"24.638,72"
7,3,1,2016,3.01.2016,09:00,"26.802,38"
7,3,1,2016,3.01.2016,10:00,"28.779,88"
7,3,1,2016,3.01.2016,11:00,"30.204,30"
7,3,1,2016,3.01.2016,12:00,"30.588,30"
7,3,1,2016,3.01.2016,13:00,"30.902,63"
7,3,1,2016,3.01.2016,14:00,"31.056,47"
7,3,1,2016,3.01.2016,15:00,"30.979,53"
7,3,1,2016,3.01.2016,16:00,"32.297,46"
7,3,1,2016,3.01.2016,17:00,"33.462,96"
7,3,1,2016,3.01.2016,18:00,"33.151,03"
7,3,1,2016,3.01.2016,19:00,"32.450,21"
7,3,1,2016,3.01.2016,20:00,"32.093,93"
7,3,1,2016,3.01.2016,21:00,"31.315,16"
7,3,1,2016,3.01.2016,22:00,"31.014,19"
7,3,1,2016,3.01.2016,23:00,"29.462,06"
1,4,1,2016,4.01.2016,00:00,"27.103,09"
1,4,1,2016,4.01.2016,01:00,"25.439,84"
1,4,1,2016,4.01.2016,02:00,"24.395,07"
1,4,1,2016,4.01.2016,03:00,"23.961,03"
1,4,1,2016,4.01.2016,04:00,"23.860,63"
1,4,1,2016,4.01.2016,05:00,"24.418,47"
1,4,1,2016,4.01.2016,06:00,"25.708,59"
1,4,1,2016,4.01.2016,07:00,"27.455,39"
1,4,1,2016,4.01.2016,08:00,"32.982,07"
1,4,1,2016,4.01.2016,09:00,"37.175,84"
1,4,1,2016,4.01.2016,10:00,"38.606,67"
1,4,1,2016,4.01.2016,11:00,"39.659,57"
1,4,1,2016,4.01.2016,12:00,"38.416,32"
1,4,1,2016,4.01.2016,13:00,"39.279,26"
1,4,1,2016,4.01.2016,14:00,"39.661,98"
1,4,1,2016,4.01.2016,15:00,"39.211,00"
1,4,1,2016,4.01.2016,16:00,"39.760,12"
1,4,1,2016,4.01.2016,17:00,"39.633,29"
1,4,1,2016,4.01.2016,18:00,"37.621,41"
1,4,1,2016,4.01.2016,19:00,"35.954,18"
1,4,1,2016,4.01.2016,20:00,"35.114,12"
1,4,1,2016,4.01.2016,21:00,"34.066,40"
1,4,1,2016,4.01.2016,22:00,"33.686,83"
1,4,1,2016,4.01.2016,23:00,"31.733,54"
2,5,1,2016,5.01.2016,00:00,"29.244,38"
2,5,1,2016,5.01.2016,01:00,"27.637,23"
2,5,1,2016,5.01.2016,02:00,"26.335,78"
2,5,1,2016,5.01.2016,03:00,"25.870,23"
2,5,1,2016,5.01.2016,04:00,"25.975,07"
2,5,1,2016,5.01.2016,05:00,"26.318,48"
2,5,1,2016,5.01.2016,06:00,"27.109,29"
2,5,1,2016,5.01.2016,07:00,"28.570,22"
2,5,1,2016,5.01.2016,08:00,"33.106,00"
2,5,1,2016,5.01.2016,09:00,"36.657,12"
2,5,1,2016,5.01.2016,10:00,"37.776,49"
2,5,1,2016,5.01.2016,11:00,"38.664,22"
2,5,1,2016,5.01.2016,12:00,"37.522,11"
2,5,1,2016,5.01.2016,13:00,"37.820,69"
2,5,1,2016,5.01.2016,14:00,"38.086,11"
2,5,1,2016,5.01.2016,15:00,"37.834,89"
2,5,1,2016,5.01.2016,16:00,"38.599,34"
2,5,1,2016,5.01.2016,17:00,"38.669,63"
2,5,1,2016,5.01.2016,18:00,"36.954,78"
2,5,1,2016,5.01.2016,19:00,"35.306,11"
2,5,1,2016,5.01.2016,20:00,"34.301,59"
2,5,1,2016,5.01.2016,21:00,"33.400,82"
2,5,1,2016,5.01.2016,22:00,"33.359,37"
2,5,1,2016,5.01.2016,23:00,"31.629,97"
3,6,1,2016,6.01.2016,00:00,"29.189,27"
3,6,1,2016,6.01.2016,01:00,"27.614,02"
3,6,1,2016,6.01.2016,02:00,"26.578,97"
3,6,1,2016,6.01.2016,03:00,"25.719,19"
3,6,1,2016,6.01.2016,04:00,"25.864,63"
3,6,1,2016,6.01.2016,05:00,"25.918,59"
3,6,1,2016,6.01.2016,06:00,"27.091,94"
3,6,1,2016,6.01.2016,07:00,"28.533,05"
3,6,1,2016,6.01.2016,08:00,"33.203,34"
3,6,1,2016,6.01.2016,09:00,"36.257,22"
3,6,1,2016,6.01.2016,10:00,"37.212,91"
3,6,1,2016,6.01.2016,11:00,"37.844,74"
3,6,1,2016,6.01.2016,12:00,"36.194,13"
3,6,1,2016,6.01.2016,13:00,"36.542,73"
3,6,1,2016,6.01.2016,14:00,"36.847,22"
3,6,1,2016,6.01.2016,15:00,"36.433,88"
3,6,1,2016,6.01.2016,16:00,"37.581,09"
3,6,1,2016,6.01.2016,17:00,"37.304,52"
3,6,1,2016,6.01.2016,18:00,"35.832,00"
3,6,1,2016,6.01.2016,19:00,"34.499,94"
3,6,1,2016,6.01.2016,20:00,"33.670,00"
3,6,1,2016,6.01.2016,21:00,"32.931,12"
3,6,1,2016,6.01.2016,22:00,"32.913,06"
3,6,1,2016,6.01.2016,23:00,"31.450,65"
4,7,1,2016,7.01.2016,00:00,"28.763,95"
4,7,1,2016,7.01.2016,01:00,"27.284,84"
4,7,1,2016,7.01.2016,02:00,"26.321,95"
4,7,1,2016,7.01.2016,03:00,"25.748,49"
4,7,1,2016,7.01.2016,04:00,"25.636,58"
4,7,1,2016,7.01.2016,05:00,"25.932,52"
4,7,1,2016,7.01.2016,06:00,"26.963,74"
4,7,1,2016,7.01.2016,07:00,"28.444,83"
4,7,1,2016,7.01.2016,08:00,"32.804,27"
4,7,1,2016,7.01.2016,09:00,"35.608,30"
4,7,1,2016,7.01.2016,10:00,"36.500,83"
4,7,1,2016,7.01.2016,11:00,"37.350,92"
4,7,1,2016,7.01.2016,12:00,"35.900,99"
4,7,1,2016,7.01.2016,13:00,"36.800,39"
4,7,1,2016,7.01.2016,14:00,"37.376,83"
4,7,1,2016,7.01.2016,15:00,"37.100,43"
4,7,1,2016,7.01.2016,16:00,"37.668,65"
4,7,1,2016,7.01.2016,17:00,"37.906,99"
4,7,1,2016,7.01.2016,18:00,"35.841,62"
4,7,1,2016,7.01.2016,19:00,"34.621,65"
4,7,1,2016,7.01.2016,20:00,"33.784,72"
4,7,1,2016,7.01.2016,21:00,"32.638,14"
4,7,1,2016,7.01.2016,22:00,"32.739,98"
4,7,1,2016,7.01.2016,23:00,"31.092,87"
5,8,1,2016,8.01.2016,00:00,"28.602,02"
5,8,1,2016,8.01.2016,01:00,"27.112,37"
5,8,1,2016,8.01.2016,02:00,"25.975,34"
5,8,1,2016,8.01.2016,03:00,"25.315,55"
5,8,1,2016,8.01.2016,04:00,"25.128,15"
5,8,1,2016,8.01.2016,05:00,"25.356,22"
5,8,1,2016,8.01.2016,06:00,"26.338,72"
5,8,1,2016,8.01.2016,07:00,"28.086,42"
5,8,1,2016,8.01.2016,08:00,"32.702,24"
5,8,1,2016,8.01.2016,09:00,"35.788,17"
5,8,1,2016,8.01.2016,10:00,"36.843,20"
5,8,1,2016,8.01.2016,11:00,"37.140,00"
5,8,1,2016,8.01.2016,12:00,"34.622,56"
5,8,1,2016,8.01.2016,13:00,"36.134,82"
5,8,1,2016,8.01.2016,14:00,"36.555,58"
5,8,1,2016,8.01.2016,15:00,"36.190,41"
5,8,1,2016,8.01.2016,16:00,"37.031,72"
5,8,1,2016,8.01.2016,17:00,"37.773,70"
5,8,1,2016,8.01.2016,18:00,"35.930,69"
5,8,1,2016,8.01.2016,19:00,"34.710,46"
5,8,1,2016,8.01.2016,20:00,"33.907,65"
5,8,1,2016,8.01.2016,21:00,"33.048,69"
5,8,1,2016,8.01.2016,22:00,"33.220,16"
5,8,1,2016,8.01.2016,23:00,"32.021,60"
6,9,1,2016,9.01.2016,00:00,"29.906,93"
6,9,1,2016,9.01.2016,01:00,"28.061,98"
6,9,1,2016,9.01.2016,02:00,"26.808,78"
6,9,1,2016,9.01.2016,03:00,"25.798,80"
6,9,1,2016,9.01.2016,04:00,"25.820,46"
6,9,1,2016,9.01.2016,05:00,"26.035,77"
6,9,1,2016,9.01.2016,06:00,"26.451,24"
6,9,1,2016,9.01.2016,07:00,"26.853,42"
6,9,1,2016,9.01.2016,08:00,"30.627,32"
6,9,1,2016,9.01.2016,09:00,"33.468,25"
6,9,1,2016,9.01.2016,10:00,"34.792,84"
6,9,1,2016,9.01.2016,11:00,"35.382,85"
6,9,1,2016,9.01.2016,12:00,"34.131,49"
6,9,1,2016,9.01.2016,13:00,"33.827,99"
6,9,1,2016,9.01.2016,14:00,"33.524,80"
6,9,1,2016,9.01.2016,15:00,"32.951,39"
6,9,1,2016,9.01.2016,16:00,"33.655,89"
6,9,1,2016,9.01.2016,17:00,"35.045,14"
6,9,1,2016,9.01.2016,18:00,"34.407,27"
6,9,1,2016,9.01.2016,19:00,"33.494,32"
6,9,1,2016,9.01.2016,20:00,"32.624,31"
6,9,1,2016,9.01.2016,21:00,"32.097,79"
6,9,1,2016,9.01.2016,22:00,"32.176,63"
6,9,1,2016,9.01.2016,23:00,"30.760,17"
7,10,1,2016,10.01.2016,00:00,"28.890,37"
7,10,1,2016,10.01.2016,01:00,"27.133,75"
7,10,1,2016,10.01.2016,02:00,"25.656,13"
7,10,1,2016,10.01.2016,03:00,"24.937,87"
7,10,1,2016,10.01.2016,04:00,"24.538,16"
7,10,1,2016,10.01.2016,05:00,"24.616,05"
7,10,1,2016,10.01.2016,06:00,"24.478,14"
7,10,1,2016,10.01.2016,07:00,"23.813,35"
7,10,1,2016,10.01.2016,08:00,"24.676,92"
7,10,1,2016,10.01.2016,09:00,"26.693,26"
7,10,1,2016,10.01.2016,10:00,"28.136,07"
7,10,1,2016,10.01.2016,11:00,"29.059,35"
7,10,1,2016,10.01.2016,12:00,"28.947,35"
7,10,1,2016,10.01.2016,13:00,"28.944,66"
7,10,1,2016,10.01.2016,14:00,"29.089,83"
7,10,1,2016,10.01.2016,15:00,"29.447,75"
7,10,1,2016,10.01.2016,16:00,"30.569,07"
7,10,1,2016,10.01.2016,17:00,"32.006,15"
7,10,1,2016,10.01.2016,18:00,"31.706,26"
7,10,1,2016,10.01.2016,19:00,"31.305,87"
7,10,1,2016,10.01.2016,20:00,"30.870,26"
7,10,1,2016,10.01.2016,21:00,"30.462,79"
7,10,1,2016,10.01.2016,22:00,"30.537,75"
7,10,1,2016,10.01.2016,23:00,"28.857,66"
1,11,1,2016,11.01.2016,00:00,"27.130,75"
1,11,1,2016,11.01.2016,01:00,"25.403,40"
1,11,1,2016,11.01.2016,02:00,"24.452,96"
1,11,1,2016,11.01.2016,03:00,"23.959,85"
